task_id,run,status,tests_passed,tests_total,language,notes
S1,1,pass,7,7,javascript,标准哈希表实现
S1,2,pass,7,7,javascript,Object作为哈希表
S1,3,pass,7,7,javascript,for...of+entries迭代
S1,4,pass,7,7,javascript,Object.create空对象哈希表
S1,5,pass,7,7,javascript,Map缓存+early-exit
S3,1,pass,10,10,javascript,标准二分修复+mid+1/mid-1
S3,2,pass,10,10,javascript,位运算>>1优化
S3,3,pass,10,10,javascript,空数组提前返回
S3,4,pass,10,10,javascript,无符号右移>>>1
S3,5,pass,10,10,javascript,Math.trunc版本
M1,1,pass,8,8,javascript,标准哨兵双向链表
M1,2,pass,8,8,javascript,detach+attach命名
M1,3,pass,8,8,javascript,dummyHead+dummyTail
M1,4,pass,8,8,javascript,front+back+unlink+prepend
M1,5,pass,8,8,javascript,缩写变量sentinel风格
M4,1,pass,3,3,javascript,connection.query参数化
M4,2,pass,3,3,javascript,pool.query+async
M4,3,pass,3,3,javascript,conn.execute+stmt
M4,4,pass,3,3,javascript,db.execute+prepared
M4,5,pass,3,3,javascript,connection.query精简版
H1,1,pass,7,7,javascript,NIL哨兵详细命名
H1,2,pass,7,7,javascript,单字母缩写leaf
H1,3,pass,7,7,javascript,中文标注缩写版(height=17)
H1,4,pass,7,7,javascript,sentinel标准命名
H1,5,pass,7,7,javascript,TNULL极致缩写版
H2,1,pass,6,6,go,Lua原子解锁+看门狗
H2,2,pass,6,6,go,Unix()+UnixMilli()组合身份
H2,3,pass,6,6,go,token+watch+delIfOwner
H2,4,pass,6,6,go,ownerID+watchdog
H2,5,pass,6,6,go,rand.Uint64+heartbeat
